1,"Washington: Blood clots can now be stopped easily and without needles, says a new study.Known as deep-vein thrombosis, blood clots affect the large veins in the lower leg and thigh.",1
1,"They are responsible for killing hundreds of people worldwide, esp.",0
1,after joint replacement surgery.,1
1,"If the clot breaks free and moves through the bloodstream, it can lodge in lungs, a condition known as pulmonary embolism which is often fatal.Treating blood clots with syringes after joint surgery is painful and can cause bleeding.",1
1,"Now, an international team has found a better way of preventing deadly blood clots without increasing the risk of bleeding, the 'New England Journal of Medicine' reported.In a double blind study of more than 3,000 patients, researchers tested a new type of anti-clotting drug called Apixaban, which is an oral medication.",0
1,The medicine proved just as effective at preventing blood clots and reduced the risk of bleeding by half.,1
1,"Most importantly for patient convenience, it was much easier to use, they said.��� This is a major step in our fight to prevent DVT and the many unnecessary deaths each year caused by blood clots after joint replacement surgery.",1
1,"""We now have a better treatment that reduces the risk of bleeding, and a patient no longer has to endure injections by needle,"" team leader Gary Raskob of University of Oklahoma said.",0
2,"LONDON: In a surgical feat, doctors have operated on a woman which they claim is the first hysterectomy in Europe through a tiny incision in her belly button, leaving no visible outward scars.The technique, known as single incision laparoscopic surgery, is the latest development in keyhole surgery where the instruments are inserted through the belly button including a tiny camera and surgeons manoeuvre inside using a TV monitor.Surgeon Thomas Ind, who led the team which carried out the hysterectomy ��� the surgical removal of the uterus ��� on the woman named Debbie Price, said the method is only an extension of what is already being done with keyhole methods.���Instead of making three or four holes for instruments we just make one hole.",1
2,"The patients like the idea of not having three or four little scars across their tummy���, he said.",1
2,"Price, 46, decided to go for the operation after suffering for years with adenomyosis ��� a painful condition where the womb lining grows into muscle of the uterus.",1
3,"MELBOURNE: If you think a kiss is just a kiss, you might want to think again, for the simple pleasure now comes with a health warning-it can cause herpes.",1
3,"The Australian Herpes Management Forum, which is to start an awareness campaign, has warned that a kiss is a major transmitter of herpes.",1
3,"The symbol of affection ""poses risks to both adults and children"".",0
3,"""No parent kissing their child or partner kissing their girlfriend wants to pass along the Herpes Simplex Virus (HSV), but people should be aware this is the main method of transmission.",1
3,"Once you have been infected with HSV-1 or HSV-2, the virus stays in your body for life and can reactivate at any time,"" the Australian media quoted AHMF's Executive Director Tricia Berger.",0
3,"""If you have a herpes sore on or near your mouth, it is likely that you'll pass the virus along to whomever you kiss.",0
3,"It is also possible to transmit the virus even when there are no apparent sores or symptoms, but the risk is higher when the sores are visible,"" Berger said.HSV-1 is the variant of the virus otherwise referred to as cold sores.",0
3,"It is commonly acquired as a child from contact, often a kiss, with adult relatives.Berger said the herpes risk posed by kissing would be the main theme of a new community service awareness campaign.",1
3,"Television and radio ads will be aired nationally from August up to National Herpes Awareness Day, in October.",1
4,"MELBOURNE: Scientists claimed to have developed a new variety of broccoli that is not only grown naturally, but also tastes sweeter and has 40 per cent more anti-oxidants than the normal to reduce risks of heart disease and cancer.Scientists at Victoria's Department of Primary Industries (DPI), have discovered ""Booster Broccoli"", a new variety that is the first in the group of super vegetables and contains more anti-oxidants than the usual variety, the ABC report said on Monday.DPI's leading scientist Rod Jones said that the new broccoli is not the result of genetic engineering.",1
4,"""All we've done is gone back and minded nature's natural diversity,"" he said.Jones also said that DPI had partnerships with large companies and had tested 400 varieties of broccoli before selecting the one that had the highest anti-oxidant content and now they have decided to breed the ""Booster Broccoli"".",1
4,"""It's also about improving the health of our population in general by getting people to eat vegetables that we know are very good for them,"" he added.",1
4,"""It's a premium branded product so the returns to growers should be higher,"" Jones said.",1
5,LUCKNOW: Want to lead a healthy life and free your home from bacteria?,1
5,"Perform 'havan' at regular intervals.A study carried out by a team of scientists at National Botanical Research Institute (NBRI) here has claimed that smoke emitted during havans reduces airborne bacteria to a large extent, minimising possibility of infectious diseases.",1
5,"""Burning wood and medicinal herbs, better known as 'havan samagri'(mixture of wood and odoriferous and medicinal herbs), can effectively reduce pathogens in the air,"" NBRI's senior scientist Chandra Shekhar Nautiyal said.The study had already been published and accepted by Science Direct, a journal of ethnopharmacology.",1
5,"""As described in Rigvedas, saints used to perform agnihotra-yagnas to purify the environment by sublimating the havan samgri in fire,"" he said.In a bid to study the actual impact of havans, an indoor study was carried out by the NBRI team including Prof Nautiyal, Puneet Singh Chauhan and a fellow of Asian Agri-History Foundation Yeshwant Laxman Nene.A complex mixture of over five dozen odoriferous and medical herbs was obtained from Gurukul Kangri Pharmacy in Haridwar and burnt in an indoor environment to study its impact on the environment.",1
6,LONDON: It's a dream come true for tired-out-moms - a revolutionary new cot mattress which mimics the sensation of the womb to keep babies happy at night.,1
6,"The Easidream mattress, invented by a British mother- of-six, Lynda Harding, has a series of inflatable pads which when placed under the existing mattress, reduces the time to settle babies by up to 90%.",1
6,"The pads gently fill with air and then deflate again, mimicking a rocking motion.",1
6,"And, a cuddly toy sheep clipped to the side of the cot broadcasts the sound of mother's heartbeat along with a choice of sounds like vacuum cleaner and music.",0
6,"The motion of the pads also encourages babies to sleep on their backs, recommended as the safest position for babies under six months old, the 'Daily Mail' reported.",1
6,"44-year-old Harding, who battled to get her youngest child Bradley to sleep as a baby, said: ""Sleep deprivation is draining.",1
6,"This product would have been a godsend for me so I'd like to see it help other parents.""",0
6,"Now, researchers at the University of Brighton have also developed a prototype.",0
6,The product will be launched at the Baby Show in London in October.,0
6,"Jeanne Tarrant, from the Royal College of Midwives, said: ""Babies do respond to hearing their mother's heartbeat or white noise and it usually sends them to sleep.",1
6,A rocking motion can also help.,1
6,"Anything that reminds them of being in the womb is useful.""",0
